,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
30,32001921002-A,Towner-DW,DEQ,,,2020-10-12 11:50:00,,,,,,ng/L,drinking water,North Dakota,,,,0.398,EPA 537.1,False,PFTRIA,0.0,,
31,32001921002-A,Towner-DW,DEQ,,,2020-10-12 11:50:00,,,,,,ng/L,drinking water,North Dakota,,,,0.35,EPA 537.1,False,PFUNA,0.0,,
32,32001921002-A,Towner-DW,DEQ,,,2020-10-12 11:50:00,,,,,,ng/L,drinking water,North Dakota,,,,0.438,EPA 537.1,False,NADONA,0.0,,
33,32001921002-A,Towner-DW,DEQ,,,2020-10-12 11:50:00,,,,,,ng/L,drinking water,North Dakota,,,,0.422,EPA 537.1,False,9CL-PF3ONS,0.0,,
34,32001921002-A,Towner-DW,DEQ,,,2020-10-12 11:50:00,,,,,,ng/L,drinking water,North Dakota,,,,0.484,EPA 537.1,False,11CL-PF3OUDS,0.0,,
35,32001921002-A,Towner-DW,DEQ,,,2020-10-12 11:50:00,,,,,,ng/L,drinking water,North Dakota,,,,1.42,EPA 537.1,False,HFPO-DA (GENX),0.0,,
36,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.803,EPA 537.1,False,NETFOSAA,0.0,,
37,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.737,EPA 537.1,False,NMEFOSAA,0.0,,
38,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.482,EPA 537.1,False,PFBS,0.0,,
39,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.472,EPA 537.1,False,PFDA,0.0,,
40,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.515,EPA 537.1,False,PFDOA,0.0,,
41,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.606,EPA 537.1,False,PFHPA,0.0,,
42,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.643,EPA 537.1,False,PFHXA,0.0,,
43,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.526,EPA 537.1,False,PFHXS,0.0,,
44,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.438,EPA 537.1,False,PFNA,0.0,,
45,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.515,EPA 537.1,False,PFOA,0.0,,
46,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.503,EPA 537.1,False,PFOS,0.0,,
47,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.318,EPA 537.1,False,PFTREA,0.0,,
48,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.41,EPA 537.1,False,PFTRIA,0.0,,
49,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.36,EPA 537.1,False,PFUNA,0.0,,
50,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.45,EPA 537.1,False,NADONA,0.0,,
51,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.435,EPA 537.1,False,9CL-PF3ONS,0.0,,
52,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,0.498,EPA 537.1,False,11CL-PF3OUDS,0.0,,
53,32001921003-A,Rugby-DW,DEQ,,,2020-10-12 13:45:00,,,,,,ng/L,drinking water,North Dakota,,,,1.46,EPA 537.1,False,HFPO-DA (GENX),0.0,,
54,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.771,EPA 537.1,False,NETFOSAA,0.0,,
55,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.707,EPA 537.1,False,NMEFOSAA,0.0,,
56,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.463,EPA 537.1,False,PFBS,0.0,,
57,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.453,EPA 537.1,False,PFDA,0.0,,
58,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.494,EPA 537.1,False,PFDOA,0.0,,
59,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.582,EPA 537.1,False,PFHPA,0.0,,
60,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.618,EPA 537.1,False,PFHXA,0.0,,
61,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.505,EPA 537.1,False,PFHXS,0.0,,
62,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.42,EPA 537.1,False,PFNA,0.0,,
63,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.494,EPA 537.1,False,PFOA,0.0,,
64,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.483,EPA 537.1,False,PFOS,0.0,,
65,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.306,EPA 537.1,False,PFTREA,0.0,,
66,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.393,EPA 537.1,False,PFTRIA,0.0,,
67,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.346,EPA 537.1,False,PFUNA,0.0,,
68,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.432,EPA 537.1,False,NADONA,0.0,,
69,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.417,EPA 537.1,False,9CL-PF3ONS,0.0,,
70,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.478,EPA 537.1,False,11CL-PF3OUDS,0.0,,
71,32001921004-A,All Seasons IV,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,1.4,EPA 537.1,False,HFPO-DA (GENX),0.0,,
72,32001921005-A,Yellow-DW-Dup,DEQ,,,2020-10-12 15:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.774,EPA 537.1,False,NETFOSAA,0.0,,
